                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                  1.291,                0.76398,                 1.1826,                0.92885,                0.90327,                 0.9526,                0.57178,                 1.4068,                0.61882,                 1.2177,             0.00080653,             0.00080653,             0.00080653
                     46,                 1.2546,                 0.7508,                 1.1774,                0.94855,                0.88481,                0.95141,                0.57551,                 1.4058,                0.60742,                 1.2224,             0.00079238,             0.00079238,             0.00079238
                     47,                  1.253,                0.75229,                 1.1781,                0.94914,                0.89246,                0.95535,                 0.5736,                 1.3718,                0.60271,                 1.1883,             0.00077823,             0.00077823,             0.00077823
                     48,                 1.2544,                0.73865,                 1.1711,                0.93224,                0.93803,                0.96567,                0.57732,                 1.4066,                0.61116,                 1.2101,             0.00076409,             0.00076409,             0.00076409
                     49,                 1.2277,                0.73291,                  1.161,                0.95058,                0.86507,                0.95125,                0.54724,                 1.4016,                0.61768,                  1.208,             0.00074994,             0.00074994,             0.00074994
                     50,                 1.2343,                0.73768,                 1.1657,                0.94475,                0.90644,                0.96586,                 0.5956,                 1.3479,                0.57796,                 1.1821,             0.00073579,             0.00073579,             0.00073579
                     51,                 1.2129,                 0.7235,                 1.1586,                0.91409,                0.90073,                 0.9618,                0.58287,                 1.3632,                0.58269,                 1.1845,             0.00072164,             0.00072164,             0.00072164
                     52,                 1.1976,                0.70684,                 1.1384,                0.93502,                0.91344,                0.95723,                0.56303,                 1.4505,                0.62102,                 1.2142,              0.0007075,              0.0007075,              0.0007075
                     53,                 1.1976,                0.71203,                 1.1489,                0.94664,                0.89967,                0.96547,                0.58883,                 1.3716,                0.58781,                 1.1864,             0.00069335,             0.00069335,             0.00069335
                     54,                 1.1704,                0.69049,                 1.1311,                0.95835,                0.89105,                0.95991,                0.59535,                 1.3627,                 0.5917,                 1.1848,              0.0006792,              0.0006792,              0.0006792
                     55,                 1.1992,                0.70257,                 1.1365,                0.91907,                0.91553,                0.95607,                 0.5787,                 1.3445,                0.58083,                 1.1786,             0.00066506,             0.00066506,             0.00066506
                     56,                 1.1823,                 0.7003,                 1.1409,                0.90906,                0.94037,                0.95925,                0.59929,                 1.3164,                0.56799,                 1.1576,             0.00065091,             0.00065091,             0.00065091
                     57,                 1.1776,                0.68403,                 1.1368,                0.94977,                0.93897,                0.97327,                0.58781,                 1.3602,                0.56985,                  1.187,             0.00063676,             0.00063676,             0.00063676
                     58,                 1.1593,                0.67449,                 1.1263,                0.93675,                0.94275,                 0.9676,                0.61436,                  1.326,                 0.5736,                 1.1618,             0.00062262,             0.00062262,             0.00062262
                     59,                 1.1534,                0.68727,                 1.1241,                0.92558,                0.95108,                0.97115,                0.60497,                 1.3296,                 0.5564,                  1.169,             0.00060847,             0.00060847,             0.00060847
                     60,                 1.1623,                0.67813,                 1.1268,                0.96813,                0.92283,                0.96818,                0.61481,                 1.3225,                0.55298,                 1.1635,             0.00059432,             0.00059432,             0.00059432
                     61,                 1.1504,                0.67883,                 1.1193,                0.92193,                0.92687,                0.96632,                0.59524,                 1.3296,                 0.5678,                 1.1681,             0.00058017,             0.00058017,             0.00058017
                     62,                 1.1535,                0.67123,                 1.1206,                0.95626,                 0.9472,                0.97424,                0.60042,                 1.3272,                0.56827,                 1.1668,             0.00056603,             0.00056603,             0.00056603
                     63,                 1.1424,                0.65937,                 1.1084,                0.97443,                0.93208,                0.97476,                0.60074,                 1.3276,                 0.5565,                 1.1688,             0.00055188,             0.00055188,             0.00055188
                     64,                 1.1193,                0.65342,                 1.1128,                0.95872,                0.92987,                 0.9716,                 0.6143,                 1.2852,                0.53548,                 1.1562,             0.00053773,             0.00053773,             0.00053773
                     65,                 1.1206,                0.64859,                 1.1084,                0.94178,                  0.951,                0.97613,                 0.6435,                 1.2743,                0.53327,                 1.1347,             0.00052359,             0.00052359,             0.00052359
                     66,                 1.1228,                0.65026,                 1.1117,                0.95132,                0.95806,                0.98191,                0.64223,                 1.2633,                0.52821,                 1.1371,             0.00050944,             0.00050944,             0.00050944
